Issue Type,Summary,Description,Priority,Labels,Epic Link,Story Points
Task,Apply explainable contract to check-in summary API,Update check-in summary endpoint and tests to enforce explainability fields.,High,"phase-b,p1,ai,api",P1 Explainable AI Contract,3
Task,Add explainability drawer component,Build reusable UI component to display rationale factors confidence and time window.,High,"phase-b,p1,ai,frontend",P1 Explainable AI Contract,5
Story,Create calibration session entities,Add calibration_sessions and calibration_decisions with actor rationale and version fields.,High,"phase-b,p1,calibration,data-model",P1 HR Calibration Workbench,5
Story,Build calibration API surface,Implement create update list and decision capture APIs for HR calibration sessions.,High,"phase-b,p1,calibration,api",P1 HR Calibration Workbench,8
Task,Create calibration distribution views,Add visual distribution and drift indicators by manager team and department.,High,"phase-b,p1,calibration,frontend",P1 HR Calibration Workbench,8
Task,Add calibration audit timeline,Capture and display decision changes with before-after state and rationale snapshots.,High,"phase-b,p1,calibration,audit",P1 HR Calibration Workbench,5
Story,Build pre-check-in AI agenda service,Generate agenda discussion priorities and blocker prompts before meetings.,High,"phase-b,p1,checkins,ai",P1 Check-in Intelligence Upgrade,5
Task,Add commitments extractor after meeting,Extract commitments owners and due dates from check-in content and transcript inputs.,High,"phase-b,p1,checkins,ai",P1 Check-in Intelligence Upgrade,5
Task,Implement manager coaching quality score,Generate internal quality signal for feedback specificity constructiveness and actionability.,High,"phase-b,p1,checkins,ai",P1 Check-in Intelligence Upgrade,5
Task,Add tone guidance suggestions,Provide manager-facing tone and clarity suggestions before feedback submit.,Medium,"phase-b,p1,checkins,ai",P1 Check-in Intelligence Upgrade,3
Story,Add AI usage counters in user flows,Show remaining usage per feature and cycle near each AI action entry point.,High,"phase-b,p1,ai,governance,frontend",P1 AI Governance Visibility,5
Task,Build HR AI governance panel,Add summary analytics for feature usage outliers and quota adherence.,Medium,"phase-b,p1,ai,governance,analytics",P1 AI Governance Visibility,5
Task,Add AI budget warning thresholds,Trigger warning banners when users approach usage cap thresholds.,Medium,"phase-b,p1,ai,governance",P1 AI Governance Visibility,3
Story,Introduce leadership role and route protection,Add leadership role normalization authorization and protected route handling.,Medium,"phase-c,p2,leadership,rbac",P2 Leadership Command Center,5
Story,Build leadership overview API,Implement aggregated decision-safe analytics endpoint with strict data minimization.,Medium,"phase-c,p2,leadership,api",P2 Leadership Command Center,8
Task,Create leadership dashboard v1,Build dashboard for trends risks and readiness signals without unnecessary PII exposure.,Medium,"phase-c,p2,leadership,frontend",P2 Leadership Command Center,8
Task,Add metric definition registry,Document metric formulas windows and caveats used in leadership views.,Medium,"phase-c,p2,leadership,governance",P2 Leadership Command Center,3
Story,Define matrix reviewer data model,Create assignment model for secondary reviewers with weighted influence fields.,Medium,"phase-c,p2,matrix-review,data-model",P2 Matrix Reviewer Model,5
Task,Build matrix feedback capture flow,Allow secondary reviewer feedback capture without granting final rating authority.,Medium,"phase-c,p2,matrix-review,workflow",P2 Matrix Reviewer Model,5
Task,Blend matrix feedback into manager summary,Include weighted secondary feedback in manager decision support summaries.,Medium,"phase-c,p2,matrix-review,ai",P2 Matrix Reviewer Model,3
Story,Define goal import template and parser,Create import template spec and parser with strict schema validation errors.,Medium,"phase-c,p2,import,parser",P2 Goal Import Pipeline,5
Story,Implement import preview endpoint,Build preview-only endpoint returning row-level validation and conflict checks.,Medium,"phase-c,p2,import,api",P2 Goal Import Pipeline,5
Task,Implement idempotent commit endpoint,Commit import job with idempotency key and per-row success failure results.,Medium,"phase-c,p2,import,api",P2 Goal Import Pipeline,8
Task,Add import audit and rollback report,Persist import run audit details and generate remediation guidance for failures.,Medium,"phase-c,p2,import,audit",P2 Goal Import Pipeline,3
Story,Create 9-box model and readiness schema,Define potential-performance matrix model and readiness band fields.,Medium,"phase-c,p2,succession,data-model",P2 Succession and 9-Box,5
Task,Build HR 9-box dashboard,Create HR dashboard for talent mapping and development pathway recommendations.,Medium,"phase-c,p2,succession,frontend",P2 Succession and 9-Box,8
Task,Build leadership succession snapshot,Create leadership-safe aggregated readiness and bench-strength views.,Medium,"phase-c,p2,succession,leadership",P2 Succession and 9-Box,5
Story,Run authorization regression matrix,Add and run role-scope test matrix across all new APIs and pages.,Highest,"production,security,rbac,tests",Production Security and Compliance Gates,8
Task,Add audit trail coverage checks,Verify approvals ratings AI override and calibration events are audit-complete.,Highest,"production,compliance,audit",Production Security and Compliance Gates,5
Task,Complete data minimization review,Validate non-HR personas do not receive unnecessary sensitive fields.,Highest,"production,security,privacy",Production Security and Compliance Gates,5
Story,Define SLO dashboards and alerts,Implement core API success latency notification and scheduler reliability dashboards.,Highest,"production,reliability,slo",Production Observability and Incident Readiness,5
Task,Create incident runbooks,Publish runbooks for auth regressions notification failures AI outages and data mismatch events.,High,"production,operations,runbook",Production Observability and Incident Readiness,3
Task,Execute backup restore drill,Run and document restore drill for key collections with RTO and RPO evidence.,High,"production,operations,backup",Production Observability and Incident Readiness,3
Task,Define rollback triggers and ownership,Set threshold-based rollback conditions and owner escalation matrix for release phases.,High,"production,operations,rollback",Production Observability and Incident Readiness,3
